State/UT,Year,Mode,Total
Chandigarh,2004,Three Wheeler,3
Chandigarh,2004,Truck/Lorry,3
Chandigarh,2004,Two Wheeler,82
Chandigarh,2005,Bicycle,23
Chandigarh,2005,Bus,7
Chandigarh,2005,Car,4
Chandigarh,2005,Jeep,1
Chandigarh,2005,Other Motor Vehicles,0
Chandigarh,2005,Others,2
Chandigarh,2005,Pedestrian,40
Chandigarh,2005,Three Wheeler,2
Chandigarh,2005,Truck/Lorry,0
Chandigarh,2005,Two Wheeler,55
Chandigarh,2006,Bicycle,28
Chandigarh,2006,Bus,0
Chandigarh,2006,Car,4
Chandigarh,2006,Jeep,0
Chandigarh,2006,Other Motor Vehicles,0
Chandigarh,2006,Others,4
Chandigarh,2006,Pedestrian,39
Chandigarh,2006,Three Wheeler,9
Chandigarh,2006,Truck/Lorry,0
Chandigarh,2006,Two Wheeler,57
Chandigarh,2007,Bicycle,24
Chandigarh,2007,Bus,1
Chandigarh,2007,Car,8
Chandigarh,2007,Jeep,0
Chandigarh,2007,Other Motor Vehicles,2
Chandigarh,2007,Others,5
Chandigarh,2007,Pedestrian,40
Chandigarh,2007,Three Wheeler,2
Chandigarh,2007,Truck/Lorry,0
Chandigarh,2007,Two Wheeler,69
Chandigarh,2008,Bicycle,23
Chandigarh,2008,Bus,2
Chandigarh,2008,Car,5
Chandigarh,2008,Jeep,0
Chandigarh,2008,Other Motor Vehicles,0
Chandigarh,2008,Others,5
Chandigarh,2008,Pedestrian,43
Chandigarh,2008,Three Wheeler,5
Chandigarh,2008,Truck/Lorry,0
Chandigarh,2008,Two Wheeler,63
Chandigarh,2009,Bicycle,25
Chandigarh,2009,Bus,4
Chandigarh,2009,Car,3
Chandigarh,2009,Jeep,0
Chandigarh,2009,Other Motor Vehicles,0
Chandigarh,2009,Others,6
Chandigarh,2009,Pedestrian,58
Chandigarh,2009,Three Wheeler,4
Chandigarh,2009,Truck/Lorry,0
Chandigarh,2009,Two Wheeler,71
Chandigarh,2010,Bicycle,25
Chandigarh,2010,Bus,0
Chandigarh,2010,Car,7
Chandigarh,2010,Jeep,0
Chandigarh,2010,Other Motor Vehicles,0
Chandigarh,2010,Others,4
Chandigarh,2010,Pedestrian,52
Chandigarh,2010,Three Wheeler,2
Chandigarh,2010,Truck/Lorry,0
Chandigarh,2010,Two Wheeler,48
Chandigarh,2011,Bicycle,22
Chandigarh,2011,Bus,0
Chandigarh,2011,Car,8
Chandigarh,2011,Jeep,0
Chandigarh,2011,Other Motor Vehicles,0
Chandigarh,2011,Others,7
Chandigarh,2011,Pedestrian,47
Chandigarh,2011,Three Wheeler,2
Chandigarh,2011,Truck/Lorry,0
Chandigarh,2011,Two Wheeler,50
Chandigarh,2012,Bicycle,22
Chandigarh,2012,Bus,0
Chandigarh,2012,Car,5
Chandigarh,2012,Jeep,1
Chandigarh,2012,Other Motor Vehicles,1
Chandigarh,2012,Others,4
Chandigarh,2012,Pedestrian,32
Chandigarh,2012,Three Wheeler,5
Chandigarh,2012,Truck/Lorry,0
Chandigarh,2012,Two Wheeler,44
Chandigarh,2013,Bicycle,29
Chandigarh,2013,Bus,0
Chandigarh,2013,Car,5
Chandigarh,2013,Jeep,0
Chandigarh,2013,Other Motor Vehicles,2
Chandigarh,2013,Others,7
Chandigarh,2013,Pedestrian,41
Chandigarh,2013,Three Wheeler,5
Chandigarh,2013,Truck/Lorry,0
Chandigarh,2013,Two Wheeler,33
Chandigarh,2014,Bicycle,18
Chandigarh,2014,Bus,3
Chandigarh,2014,Car,5
Chandigarh,2014,Jeep,0
Chandigarh,2014,Other Motor Vehicles,0
Chandigarh,2014,Others,2
Chandigarh,2014,Pedestrian,46
Chandigarh,2014,Three Wheeler,6
Chandigarh,2014,Truck/Lorry,0
Chandigarh,2014,Two Wheeler,51
Chhattisgarh,2001,Bicycle,41
Chhattisgarh,2001,Bus,83
Chhattisgarh,2001,Car,36
Chhattisgarh,2001,Jeep,167
Chhattisgarh,2001,Other Motor Vehicles,83
Chhattisgarh,2001,Others,140
Chhattisgarh,2001,Pedestrian,65
Chhattisgarh,2001,Three Wheeler,11
Chhattisgarh,2001,Truck/Lorry,491
Chhattisgarh,2001,Two Wheeler,223
Chhattisgarh,2002,Bicycle,138
Chhattisgarh,2002,Bus,114
Chhattisgarh,2002,Car,41
Chhattisgarh,2002,Jeep,199
Chhattisgarh,2002,Other Motor Vehicles,67
Chhattisgarh,2002,Others,327
Chhattisgarh,2002,Pedestrian,155
Chhattisgarh,2002,Three Wheeler,15
Chhattisgarh,2002,Truck/Lorry,424
Chhattisgarh,2002,Two Wheeler,344
Chhattisgarh,2003,Bicycle,73
Chhattisgarh,2003,Bus,154
Chhattisgarh,2003,Car,61
Chhattisgarh,2003,Jeep,231
Chhattisgarh,2003,Other Motor Vehicles,70
Chhattisgarh,2003,Others,341
Chhattisgarh,2003,Pedestrian,142
Chhattisgarh,2003,Three Wheeler,13
Chhattisgarh,2003,Truck/Lorry,617
Chhattisgarh,2003,Two Wheeler,333
Chhattisgarh,2004,Bicycle,78
Chhattisgarh,2004,Bus,109
Chhattisgarh,2004,Car,47
Chhattisgarh,2004,Jeep,222
Chhattisgarh,2004,Other Motor Vehicles,79
Chhattisgarh,2004,Others,494
Chhattisgarh,2004,Pedestrian,201
Chhattisgarh,2004,Three Wheeler,29
Chhattisgarh,2004,Truck/Lorry,546
Chhattisgarh,2004,Two Wheeler,445
Chhattisgarh,2005,Bicycle,156
Chhattisgarh,2005,Bus,204
Chhattisgarh,2005,Car,85
Chhattisgarh,2005,Jeep,240
Chhattisgarh,2005,Other Motor Vehicles,96
Chhattisgarh,2005,Others,332
Chhattisgarh,2005,Pedestrian,206
Chhattisgarh,2005,Three Wheeler,15
Chhattisgarh,2005,Truck/Lorry,534
Chhattisgarh,2005,Two Wheeler,457
Chhattisgarh,2006,Bicycle,159
Chhattisgarh,2006,Bus,170
Chhattisgarh,2006,Car,111
Chhattisgarh,2006,Jeep,197
Chhattisgarh,2006,Other Motor Vehicles,80
Chhattisgarh,2006,Others,483
Chhattisgarh,2006,Pedestrian,136
Chhattisgarh,2006,Three Wheeler,31
Chhattisgarh,2006,Truck/Lorry,766
Chhattisgarh,2006,Two Wheeler,441
Chhattisgarh,2007,Bicycle,79
Chhattisgarh,2007,Bus,188
Chhattisgarh,2007,Car,136
Chhattisgarh,2007,Jeep,200
Chhattisgarh,2007,Other Motor Vehicles,90
Chhattisgarh,2007,Others,766
Chhattisgarh,2007,Pedestrian,166
Chhattisgarh,2007,Three Wheeler,28
Chhattisgarh,2007,Truck/Lorry,719
Chhattisgarh,2007,Two Wheeler,560
Chhattisgarh,2008,Bicycle,84
Chhattisgarh,2008,Bus,169
Chhattisgarh,2008,Car,119
Chhattisgarh,2008,Jeep,208
Chhattisgarh,2008,Other Motor Vehicles,103
Chhattisgarh,2008,Others,701
Chhattisgarh,2008,Pedestrian,213
Chhattisgarh,2008,Three Wheeler,29
Chhattisgarh,2008,Truck/Lorry,790
Chhattisgarh,2008,Two Wheeler,827
Chhattisgarh,2009,Bicycle,133
Chhattisgarh,2009,Bus,179
Chhattisgarh,2009,Car,157
Chhattisgarh,2009,Jeep,273
Chhattisgarh,2009,Other Motor Vehicles,132
Chhattisgarh,2009,Others,684
Chhattisgarh,2009,Pedestrian,199
Chhattisgarh,2009,Three Wheeler,50
Chhattisgarh,2009,Truck/Lorry,637
Chhattisgarh,2009,Two Wheeler,714
Chhattisgarh,2010,Bicycle,160
Chhattisgarh,2010,Bus,251
Chhattisgarh,2010,Car,165
Chhattisgarh,2010,Jeep,271
Chhattisgarh,2010,Other Motor Vehicles,144
Chhattisgarh,2010,Others,531
Chhattisgarh,2010,Pedestrian,223
Chhattisgarh,2010,Three Wheeler,50
Chhattisgarh,2010,Truck/Lorry,698
Chhattisgarh,2010,Two Wheeler,395
Chhattisgarh,2011,Bicycle,130
Chhattisgarh,2011,Bus,179
Chhattisgarh,2011,Car,166
Chhattisgarh,2011,Jeep,302
Chhattisgarh,2011,Other Motor Vehicles,190
Chhattisgarh,2011,Others,425
Chhattisgarh,2011,Pedestrian,240
Chhattisgarh,2011,Three Wheeler,85
Chhattisgarh,2011,Truck/Lorry,816
Chhattisgarh,2011,Two Wheeler,921
Chhattisgarh,2012,Bicycle,64
Chhattisgarh,2012,Bus,147
Chhattisgarh,2012,Car,139
Chhattisgarh,2012,Jeep,220
Chhattisgarh,2012,Other Motor Vehicles,91
Chhattisgarh,2012,Others,758
Chhattisgarh,2012,Pedestrian,189
Chhattisgarh,2012,Three Wheeler,24
Chhattisgarh,2012,Truck/Lorry,800
Chhattisgarh,2012,Two Wheeler,735
Chhattisgarh,2013,Bicycle,53
Chhattisgarh,2013,Bus,208
Chhattisgarh,2013,Car,182
Chhattisgarh,2013,Jeep,259
Chhattisgarh,2013,Other Motor Vehicles,82
Chhattisgarh,2013,Others,894
Chhattisgarh,2013,Pedestrian,131
Chhattisgarh,2013,Three Wheeler,57
Chhattisgarh,2013,Truck/Lorry,656
Chhattisgarh,2013,Two Wheeler,955
Chhattisgarh,2014,Bicycle,12
Chhattisgarh,2014,Bus,197
Chhattisgarh,2014,Car,463
Chhattisgarh,2014,Jeep,149
Chhattisgarh,2014,Other Motor Vehicles,748
Chhattisgarh,2014,Others,32
Chhattisgarh,2014,Pedestrian,63
Chhattisgarh,2014,Three Wheeler,36
Chhattisgarh,2014,Truck/Lorry,1167
Chhattisgarh,2014,Two Wheeler,1118
D & N Haveli,2001,Bicycle,4
D & N Haveli,2001,Bus,1
D & N Haveli,2001,Car,1
D & N Haveli,2001,Jeep,0
D & N Haveli,2001,Other Motor Vehicles,3
D & N Haveli,2001,Others,1
D & N Haveli,2001,Pedestrian,11
D & N Haveli,2001,Three Wheeler,3
D & N Haveli,2001,Truck/Lorry,7
D & N Haveli,2001,Two Wheeler,6
D & N Haveli,2002,Bicycle,2
D & N Haveli,2002,Bus,1
D & N Haveli,2002,Car,2
D & N Haveli,2002,Jeep,0
D & N Haveli,2002,Other Motor Vehicles,0
D & N Haveli,2002,Others,3
D & N Haveli,2002,Pedestrian,12
D & N Haveli,2002,Three Wheeler,4
D & N Haveli,2002,Truck/Lorry,1
D & N Haveli,2002,Two Wheeler,7
D & N Haveli,2003,Bicycle,3
D & N Haveli,2003,Bus,3
D & N Haveli,2003,Car,2
D & N Haveli,2003,Jeep,4
D & N Haveli,2003,Other Motor Vehicles,5
D & N Haveli,2003,Others,3
D & N Haveli,2003,Pedestrian,5
D & N Haveli,2003,Three Wheeler,3
D & N Haveli,2003,Truck/Lorry,2
D & N Haveli,2003,Two Wheeler,4
D & N Haveli,2004,Bicycle,6
D & N Haveli,2004,Bus,3
D & N Haveli,2004,Car,0
D & N Haveli,2004,Jeep,0
D & N Haveli,2004,Other Motor Vehicles,4
D & N Haveli,2004,Others,9
D & N Haveli,2004,Pedestrian,12
D & N Haveli,2004,Three Wheeler,4
D & N Haveli,2004,Truck/Lorry,4
D & N Haveli,2004,Two Wheeler,12
D & N Haveli,2005,Bicycle,0
D & N Haveli,2005,Bus,0
D & N Haveli,2005,Car,4
D & N Haveli,2005,Jeep,6
D & N Haveli,2005,Other Motor Vehicles,3
D & N Haveli,2005,Others,7
D & N Haveli,2005,Pedestrian,0
D & N Haveli,2005,Three Wheeler,2
D & N Haveli,2005,Truck/Lorry,20
D & N Haveli,2005,Two Wheeler,13
D & N Haveli,2006,Bicycle,0
D & N Haveli,2006,Bus,7
D & N Haveli,2006,Car,0
D & N Haveli,2006,Jeep,0
D & N Haveli,2006,Other Motor Vehicles,5
D & N Haveli,2006,Others,5
D & N Haveli,2006,Pedestrian,0
D & N Haveli,2006,Three Wheeler,2
D & N Haveli,2006,Truck/Lorry,17
D & N Haveli,2006,Two Wheeler,9
D & N Haveli,2007,Bicycle,0
D & N Haveli,2007,Bus,3
D & N Haveli,2007,Car,2
D & N Haveli,2007,Jeep,1
D & N Haveli,2007,Other Motor Vehicles,11
D & N Haveli,2007,Others,8
D & N Haveli,2007,Pedestrian,0
D & N Haveli,2007,Three Wheeler,6
D & N Haveli,2007,Truck/Lorry,16
D & N Haveli,2007,Two Wheeler,19
D & N Haveli,2008,Bicycle,0
D & N Haveli,2008,Bus,4
D & N Haveli,2008,Car,2
D & N Haveli,2008,Jeep,0
D & N Haveli,2008,Other Motor Vehicles,11
D & N Haveli,2008,Others,5
D & N Haveli,2008,Pedestrian,4
D & N Haveli,2008,Three Wheeler,3
D & N Haveli,2008,Truck/Lorry,11
D & N Haveli,2008,Two Wheeler,25
D & N Haveli,2009,Bicycle,5
D & N Haveli,2009,Bus,0
D & N Haveli,2009,Car,4
D & N Haveli,2009,Jeep,0
D & N Haveli,2009,Other Motor Vehicles,0
D & N Haveli,2009,Others,1
D & N Haveli,2009,Pedestrian,11
D & N Haveli,2009,Three Wheeler,2
D & N Haveli,2009,Truck/Lorry,0
D & N Haveli,2009,Two Wheeler,22
D & N Haveli,2010,Bicycle,2
D & N Haveli,2010,Bus,1
D & N Haveli,2010,Car,2
D & N Haveli,2010,Jeep,2
D & N Haveli,2010,Other Motor Vehicles,0
D & N Haveli,2010,Others,7
D & N Haveli,2010,Pedestrian,11
D & N Haveli,2010,Three Wheeler,2
D & N Haveli,2010,Truck/Lorry,1
D & N Haveli,2010,Two Wheeler,34
D & N Haveli,2011,Bicycle,3
D & N Haveli,2011,Bus,0
D & N Haveli,2011,Car,4
D & N Haveli,2011,Jeep,0
D & N Haveli,2011,Other Motor Vehicles,0
D & N Haveli,2011,Others,7
D & N Haveli,2011,Pedestrian,16
D & N Haveli,2011,Three Wheeler,3
D & N Haveli,2011,Truck/Lorry,2
D & N Haveli,2011,Two Wheeler,28
D & N Haveli,2012,Bicycle,0
D & N Haveli,2012,Bus,3
D & N Haveli,2012,Car,6
D & N Haveli,2012,Jeep,0
D & N Haveli,2012,Other Motor Vehicles,8
D & N Haveli,2012,Others,10
D & N Haveli,2012,Pedestrian,0
D & N Haveli,2012,Three Wheeler,0
D & N Haveli,2012,Truck/Lorry,9
D & N Haveli,2012,Two Wheeler,17
D & N Haveli,2013,Bicycle,0
D & N Haveli,2013,Bus,1
D & N Haveli,2013,Car,3
D & N Haveli,2013,Jeep,3
D & N Haveli,2013,Other Motor Vehicles,5
D & N Haveli,2013,Others,11
D & N Haveli,2013,Pedestrian,0
D & N Haveli,2013,Three Wheeler,0
D & N Haveli,2013,Truck/Lorry,13
D & N Haveli,2013,Two Wheeler,13
D&N Haveli,2014,Bicycle,0
D&N Haveli,2014,Bus,4
D&N Haveli,2014,Car,2
D&N Haveli,2014,Jeep,4
D&N Haveli,2014,Other Motor Vehicles,15
D&N Haveli,2014,Others,0
D&N Haveli,2014,Pedestrian,0
D&N Haveli,2014,Three Wheeler,2
D&N Haveli,2014,Truck/Lorry,18
D&N Haveli,2014,Two Wheeler,14
Daman & Diu,2001,Bicycle,3
Daman & Diu,2001,Bus,0
Daman & Diu,2001,Car,0
Daman & Diu,2001,Jeep,0
Daman & Diu,2001,Other Motor Vehicles,0
Daman & Diu,2001,Others,1
Daman & Diu,2001,Pedestrian,2
Daman & Diu,2001,Three Wheeler,1
Daman & Diu,2001,Truck/Lorry,0
Daman & Diu,2001,Two Wheeler,1
Daman & Diu,2002,Bicycle,1
Daman & Diu,2002,Bus,0
Daman & Diu,2002,Car,1
Daman & Diu,2002,Jeep,0
Daman & Diu,2002,Other Motor Vehicles,0
Daman & Diu,2002,Others,0
Daman & Diu,2002,Pedestrian,4
Daman & Diu,2002,Three Wheeler,0
Daman & Diu,2002,Truck/Lorry,0
Daman & Diu,2002,Two Wheeler,12
Daman & Diu,2003,Bicycle,4
Daman & Diu,2003,Bus,0
Daman & Diu,2003,Car,0
Daman & Diu,2003,Jeep,1
Daman & Diu,2003,Other Motor Vehicles,0
Daman & Diu,2003,Others,0
Daman & Diu,2003,Pedestrian,6
Daman & Diu,2003,Three Wheeler,1
Daman & Diu,2003,Truck/Lorry,0
Daman & Diu,2003,Two Wheeler,7
Daman & Diu,2004,Bicycle,0
Daman & Diu,2004,Bus,0
Daman & Diu,2004,Car,3
Daman & Diu,2004,Jeep,0
Daman & Diu,2004,Other Motor Vehicles,3
Daman & Diu,2004,Others,2
Daman & Diu,2004,Pedestrian,1
Daman & Diu,2004,Three Wheeler,3
Daman & Diu,2004,Truck/Lorry,6
Daman & Diu,2004,Two Wheeler,6
Daman & Diu,2005,Bicycle,0
Daman & Diu,2005,Bus,0
Daman & Diu,2005,Car,5
Daman & Diu,2005,Jeep,0
Daman & Diu,2005,Other Motor Vehicles,2
Daman & Diu,2005,Others,2
Daman & Diu,2005,Pedestrian,2
Daman & Diu,2005,Three Wheeler,0
Daman & Diu,2005,Truck/Lorry,2
Daman & Diu,2005,Two Wheeler,11
Daman & Diu,2006,Bicycle,5
Daman & Diu,2006,Bus,1
Daman & Diu,2006,Car,0
Daman & Diu,2006,Jeep,0
Daman & Diu,2006,Other Motor Vehicles,0
Daman & Diu,2006,Others,1
Daman & Diu,2006,Pedestrian,6
Daman & Diu,2006,Three Wheeler,2
Daman & Diu,2006,Truck/Lorry,0
Daman & Diu,2006,Two Wheeler,12
Daman & Diu,2007,Bicycle,1
Daman & Diu,2007,Bus,1
Daman & Diu,2007,Car,1
Daman & Diu,2007,Jeep,0
Daman & Diu,2007,Other Motor Vehicles,0
Daman & Diu,2007,Others,1
Daman & Diu,2007,Pedestrian,9
Daman & Diu,2007,Three Wheeler,2
Daman & Diu,2007,Truck/Lorry,0
Daman & Diu,2007,Two Wheeler,14
Daman & Diu,2008,Bicycle,6
Daman & Diu,2008,Bus,0
Daman & Diu,2008,Car,2
Daman & Diu,2008,Jeep,0
Daman & Diu,2008,Other Motor Vehicles,0
Daman & Diu,2008,Others,3
Daman & Diu,2008,Pedestrian,0
Daman & Diu,2008,Three Wheeler,2
Daman & Diu,2008,Truck/Lorry,0
Daman & Diu,2008,Two Wheeler,8
Daman & Diu,2009,Bicycle,0
Daman & Diu,2009,Bus,0
Daman & Diu,2009,Car,2
Daman & Diu,2009,Jeep,0
Daman & Diu,2009,Other Motor Vehicles,0
Daman & Diu,2009,Others,0
Daman & Diu,2009,Pedestrian,0
Daman & Diu,2009,Three Wheeler,0
Daman & Diu,2009,Truck/Lorry,0
Daman & Diu,2009,Two Wheeler,11
Daman & Diu,2010,Bicycle,3
Daman & Diu,2010,Bus,0
Daman & Diu,2010,Car,0
Daman & Diu,2010,Jeep,0
Daman & Diu,2010,Other Motor Vehicles,0
Daman & Diu,2010,Others,0
Daman & Diu,2010,Pedestrian,3
Daman & Diu,2010,Three Wheeler,5
Daman & Diu,2010,Truck/Lorry,1
Daman & Diu,2010,Two Wheeler,11
Daman & Diu,2011,Bicycle,0
Daman & Diu,2011,Bus,2
Daman & Diu,2011,Car,2
Daman & Diu,2011,Jeep,2
Daman & Diu,2011,Other Motor Vehicles,2
Daman & Diu,2011,Others,3
Daman & Diu,2011,Pedestrian,5
Daman & Diu,2011,Three Wheeler,1
Daman & Diu,2011,Truck/Lorry,3
Daman & Diu,2011,Two Wheeler,1
Daman & Diu,2012,Bicycle,1
Daman & Diu,2012,Bus,1
Daman & Diu,2012,Car,3
Daman & Diu,2012,Jeep,0
Daman & Diu,2012,Other Motor Vehicles,0
Daman & Diu,2012,Others,1
Daman & Diu,2012,Pedestrian,7
Daman & Diu,2012,Three Wheeler,0
Daman & Diu,2012,Truck/Lorry,0
Daman & Diu,2012,Two Wheeler,16
Daman & Diu,2013,Bicycle,0
Daman & Diu,2013,Bus,0
Daman & Diu,2013,Car,5
Daman & Diu,2013,Jeep,0
Daman & Diu,2013,Other Motor Vehicles,2
Daman & Diu,2013,Others,4
Daman & Diu,2013,Pedestrian,0
Daman & Diu,2013,Three Wheeler,0
Daman & Diu,2013,Truck/Lorry,5
Daman & Diu,2013,Two Wheeler,15
Daman & Diu,2014,Bicycle,0
Daman & Diu,2014,Bus,1
Daman & Diu,2014,Car,0
Daman & Diu,2014,Jeep,0
Daman & Diu,2014,Other Motor Vehicles,0
Daman & Diu,2014,Others,0
Daman & Diu,2014,Pedestrian,2
Daman & Diu,2014,Three Wheeler,1
Daman & Diu,2014,Truck/Lorry,3
Daman & Diu,2014,Two Wheeler,8
Delhi,2001,Bicycle,147
Delhi,2001,Bus,229
Delhi,2001,Car,118
Delhi,2001,Jeep,13
Delhi,2001,Other Motor Vehicles,112
Delhi,2001,Others,154
Delhi,2001,Pedestrian,557
Delhi,2001,Three Wheeler,64
Delhi,2001,Truck/Lorry,152
Delhi,2001,Two Wheeler,354
Delhi,2002,Bicycle,153
Delhi,2002,Bus,137
Delhi,2002,Car,104
Delhi,2002,Jeep,20
Delhi,2002,Other Motor Vehicles,93
Delhi,2002,Others,84
Delhi,2002,Pedestrian,595
Delhi,2002,Three Wheeler,75
Delhi,2002,Truck/Lorry,107
Delhi,2002,Two Wheeler,400
Delhi,2003,Bicycle,166
Delhi,2003,Bus,185
Delhi,2003,Car,107
Delhi,2003,Jeep,18
Delhi,2003,Other Motor Vehicles,110
Delhi,2003,Others,246
Delhi,2003,Pedestrian,490
Delhi,2003,Three Wheeler,52
Delhi,2003,Truck/Lorry,140
Delhi,2003,Two Wheeler,402
Delhi,2004,Bicycle,135
Delhi,2004,Bus,177
Delhi,2004,Car,131
Delhi,2004,Jeep,24
Delhi,2004,Other Motor Vehicles,89
Delhi,2004,Others,157
Delhi,2004,Pedestrian,639
Delhi,2004,Three Wheeler,93
Delhi,2004,Truck/Lorry,143
Delhi,2004,Two Wheeler,373
Delhi,2005,Bicycle,120
Delhi,2005,Bus,173
Delhi,2005,Car,123
Delhi,2005,Jeep,16
Delhi,2005,Other Motor Vehicles,94
Delhi,2005,Others,310
Delhi,2005,Pedestrian,485
Delhi,2005,Three Wheeler,84
Delhi,2005,Truck/Lorry,147
Delhi,2005,Two Wheeler,471
Delhi,2006,Bicycle,92
Delhi,2006,Bus,162
Delhi,2006,Car,154
Delhi,2006,Jeep,24
Delhi,2006,Other Motor Vehicles,105
Delhi,2006,Others,199
Delhi,2006,Pedestrian,692
Delhi,2006,Three Wheeler,76
Delhi,2006,Truck/Lorry,138
Delhi,2006,Two Wheeler,525
Delhi,2007,Bicycle,108
Delhi,2007,Bus,170
Delhi,2007,Car,177
Delhi,2007,Jeep,20
Delhi,2007,Other Motor Vehicles,95
Delhi,2007,Others,255
Delhi,2007,Pedestrian,563
Delhi,2007,Three Wheeler,71
Delhi,2007,Truck/Lorry,130
Delhi,2007,Two Wheeler,533
Delhi,2008,Bicycle,69
Delhi,2008,Bus,133
Delhi,2008,Car,151
Delhi,2008,Jeep,10
Delhi,2008,Other Motor Vehicles,110
Delhi,2008,Others,230
Delhi,2008,Pedestrian,589
Delhi,2008,Three Wheeler,79
Delhi,2008,Truck/Lorry,173
Delhi,2008,Two Wheeler,554
Delhi,2009,Bicycle,146
Delhi,2009,Bus,81
Delhi,2009,Car,140
Delhi,2009,Jeep,15
Delhi,2009,Other Motor Vehicles,74
Delhi,2009,Others,167
Delhi,2009,Pedestrian,500
Delhi,2009,Three Wheeler,60
Delhi,2009,Truck/Lorry,131
Delhi,2009,Two Wheeler,713
Delhi,2010,Bicycle,105
Delhi,2010,Bus,98
Delhi,2010,Car,218
Delhi,2010,Jeep,19
Delhi,2010,Other Motor Vehicles,96
Delhi,2010,Others,200
Delhi,2010,Pedestrian,534
Delhi,2010,Three Wheeler,87
Delhi,2010,Truck/Lorry,149
Delhi,2010,Two Wheeler,664
Delhi,2011,Bicycle,76
Delhi,2011,Bus,92
Delhi,2011,Car,186
Delhi,2011,Jeep,19
Delhi,2011,Other Motor Vehicles,89
Delhi,2011,Others,195
Delhi,2011,Pedestrian,603
Delhi,2011,Three Wheeler,64
Delhi,2011,Truck/Lorry,141
Delhi,2011,Two Wheeler,642
Delhi,2012,Bicycle,78
Delhi,2012,Bus,65
Delhi,2012,Car,205
Delhi,2012,Jeep,12
Delhi,2012,Other Motor Vehicles,99
Delhi,2012,Others,219
Delhi,2012,Pedestrian,501
Delhi,2012,Three Wheeler,67
Delhi,2012,Truck/Lorry,131
Delhi,2012,Two Wheeler,489
Delhi,2013,Bicycle,43
Delhi,2013,Bus,102
Delhi,2013,Car,286
Delhi,2013,Jeep,20
Delhi,2013,Other Motor Vehicles,75
Delhi,2013,Others,267
Delhi,2013,Pedestrian,352
Delhi,2013,Three Wheeler,51
Delhi,2013,Truck/Lorry,205
Delhi,2013,Two Wheeler,430
Delhi,2014,Bicycle,5
Delhi,2014,Bus,120
Delhi,2014,Car,385
Delhi,2014,Jeep,10
Delhi,2014,Other Motor Vehicles,203
Delhi,2014,Others,97
Delhi,2014,Pedestrian,77
Delhi,2014,Three Wheeler,80
Delhi,2014,Truck/Lorry,345
Delhi,2014,Two Wheeler,308
Goa,2001,Bicycle,8
Goa,2001,Bus,16
Goa,2001,Car,10
Goa,2001,Jeep,5
Goa,2001,Other Motor Vehicles,9
Goa,2001,Others,10
Goa,2001,Pedestrian,42
Goa,2001,Three Wheeler,7
Goa,2001,Truck/Lorry,27
Goa,2001,Two Wheeler,93
Goa,2002,Bicycle,3
Goa,2002,Bus,6
Goa,2002,Car,4
Goa,2002,Jeep,1
Goa,2002,Other Motor Vehicles,2
Goa,2002,Others,143
Goa,2002,Pedestrian,22
Goa,2002,Three Wheeler,19
Goa,2002,Truck/Lorry,2
Goa,2002,Two Wheeler,39
Goa,2003,Bicycle,8
Goa,2003,Bus,15
Goa,2003,Car,7
Goa,2003,Jeep,3
Goa,2003,Other Motor Vehicles,12
Goa,2003,Others,9
Goa,2003,Pedestrian,42
Goa,2003,Three Wheeler,15
Goa,2003,Truck/Lorry,19
Goa,2003,Two Wheeler,101
Goa,2004,Bicycle,11
Goa,2004,Bus,11
Goa,2004,Car,21
Goa,2004,Jeep,6
Goa,2004,Other Motor Vehicles,8
Goa,2004,Others,8
Goa,2004,Pedestrian,69
Goa,2004,Three Wheeler,11
Goa,2004,Truck/Lorry,21
Goa,2004,Two Wheeler,153
Goa,2005,Bicycle,8
Goa,2005,Bus,3
Goa,2005,Car,17
Goa,2005,Jeep,5
Goa,2005,Other Motor Vehicles,6
Goa,2005,Others,1
Goa,2005,Pedestrian,56
Goa,2005,Three Wheeler,7
Goa,2005,Truck/Lorry,18
Goa,2005,Two Wheeler,137
Goa,2006,Bicycle,14
Goa,2006,Bus,10
Goa,2006,Car,17
Goa,2006,Jeep,4
Goa,2006,Other Motor Vehicles,9
Goa,2006,Others,6
Goa,2006,Pedestrian,74
Goa,2006,Three Wheeler,31
Goa,2006,Truck/Lorry,18
Goa,2006,Two Wheeler,127
Goa,2007,Bicycle,12
Goa,2007,Bus,7
Goa,2007,Car,12
Goa,2007,Jeep,6
Goa,2007,Other Motor Vehicles,11
Goa,2007,Others,7
Goa,2007,Pedestrian,68
Goa,2007,Three Wheeler,2
Goa,2007,Truck/Lorry,22
Goa,2007,Two Wheeler,193
Goa,2008,Bicycle,12
Goa,2008,Bus,23
Goa,2008,Car,14
Goa,2008,Jeep,19
Goa,2008,Other Motor Vehicles,11
Goa,2008,Others,10
Goa,2008,Pedestrian,57
Goa,2008,Three Wheeler,15
Goa,2008,Truck/Lorry,23
Goa,2008,Two Wheeler,149
Goa,2009,Bicycle,7
Goa,2009,Bus,1
Goa,2009,Car,19
Goa,2009,Jeep,5
Goa,2009,Other Motor Vehicles,7
Goa,2009,Others,10
Goa,2009,Pedestrian,65
Goa,2009,Three Wheeler,4
Goa,2009,Truck/Lorry,26
Goa,2009,Two Wheeler,180
Goa,2010,Bicycle,5
Goa,2010,Bus,11
Goa,2010,Car,18
Goa,2010,Jeep,8
Goa,2010,Other Motor Vehicles,2
Goa,2010,Others,5
Goa,2010,Pedestrian,88
